fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes
1950-4-21,23:25:00,Military - U.S. Air Force,Douglas C-54D,"Near Atsugi, Japan",27.0,8.0,35.0,27.0,8.0,0.0,35.0,1950,21,4
1950-5-02,,AVIANCA,Douglas C-47DL,"Chimborazo, Ecuador",12.0,3.0,15.0,12.0,3.0,0.0,15.0,1950,2,5
1950-5-18,20:59:00,Military - U.S. Air Force,Boeing B-29,"Lagens Air Force Base, Azores",5.0,11.0,16.0,5.0,11.0,0.0,16.0,1950,18,5
1950-5-23,10:20:00,Military - U.S. Air Force,Curtiss C-46D,"Myrtle Beach, South Carolina",35.0,4.0,39.0,35.0,4.0,0.0,39.0,1950,23,5
1950-5-24,,LANSA,Douglas C-47,"Near Pasto, Colombia",24.0,3.0,27.0,23.0,3.0,0.0,26.0,1950,24,5
1950-5-27,17:29:00,Regina Cargo Airlines,Curtiss C-46F-1-CU,"Teterboro, New Jersey",0.0,2.0,2.0,0.0,1.0,0.0,1.0,1950,27,5
1950-5-30,,Aerovias Brasil,Douglas DC-3,"Near Ilheus, Brazil",11.0,4.0,15.0,9.0,4.0,0.0,13.0,1950,30,5
1950-6-05,22:03:00,Westair Transport,Curtiss C-46-F-1-CU,Atlantic Ocean off Florida,62.0,3.0,65.0,28.0,0.0,0.0,28.0,1950,5,6
1950-6-09,19:00:00,New Tribes Mission,Douglas DC-3-178,"Near Fonseca, Colombia",12.0,3.0,15.0,12.0,3.0,0.0,15.0,1950,9,6
1950-6-13,01:16:00,Air France,Douglas DC-4-1009,Off Bahrain,44.0,8.0,52.0,40.0,6.0,0.0,46.0,1950,13,6
1950-6-14,01:53:00,Air France,Douglas DC-4,Bahrain,45.0,8.0,53.0,37.0,3.0,0.0,40.0,1950,14,6
1950-6-15,01:53:00,Air France,Douglas DC-4,"Bahrain, Bahrain",45.0,8.0,53.0,37.0,3.0,,40.0,1950,15,6
1950-6-23,23:25:00,Northwest Orient Airlines,Douglas DC-4,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",55.0,3.0,58.0,55.0,3.0,0.0,58.0,1950,23,6
1950-6-26,23:00:00,Ansett ANA,Douglas DC-4-1009,"York, Australia",24.0,5.0,29.0,24.0,5.0,0.0,29.0,1950,26,6
1950-7-07,,Military - U.S. Air Force,Douglas C-54G,"Busan, South Korea",18.0,5.0,23.0,18.0,5.0,0.0,23.0,1950,7,7
1950-7-09,01:30:00,Aigle Azur,Douglas DC-3,"Casablanca, Morocco",25.0,4.0,29.0,18.0,4.0,0.0,22.0,1950,9,7
1950-7-17,,Indian National Airlines,Douglas DC-3,"Near Pathankot, India",18.0,4.0,22.0,18.0,4.0,0.0,22.0,1950,17,7
1950-7-18,,DTA Angola Airlines,Douglas DC-3,"Near Bocoio, Angola",6.0,3.0,9.0,6.0,3.0,0.0,9.0,1950,18,7
1950-7-23,10:22:00,Military - U.S. Air Force,Curtiss C-46 Commando,"Myrtle Beach, North Carolina",35.0,4.0,39.0,35.0,4.0,0.0,39.0,1950,23,7
1950-7-27,04:30:00,Military - U.S. Air Force,Douglas C-47D,"Off O-shima Island, Japan",23.0,3.0,26.0,22.0,3.0,0.0,25.0,1950,27,7
1950-7-28,19:25:00,Panair do Brasil,Lockheed 049 Constellation,"Porte Alegre, Brazil",43.0,7.0,50.0,43.0,7.0,0.0,50.0,1950,28,7
1950-7-29,03:00:00,Cie Air Transport,Bristol 170 Freighter 21,"Tunbukta, Algeria",22.0,4.0,26.0,22.0,4.0,0.0,26.0,1950,29,7
1950-7-30,13:00:00,"SAVG (S.A. Viacao Gaucha, )SAVG",Lockheed 18 LodeStar,"Algrete, Brazil",10.0,2.0,12.0,10.0,2.0,0.0,12.0,1950,30,7
1950-7-30,05:44:00,Aeroflot,Ilyushin IL-12,"Karaganda, Russia",19.0,6.0,25.0,19.0,6.0,0.0,25.0,1950,30,7
